scene_id,surface_type_min,surface_type_max,surface_wind_min,surface_wind_max,cloud_fraction_min,cloud_fraction_max,cloud_phase_min,cloud_phase_max,optical_depth_min,optical_depth_max,solar_zenith_angle_min,solar_zenith_angle_max,viewing_zenith_angle_min,viewing_zenith_angle_max,relative_azimuth_angle_min,relative_azimuth_angle_max
1,0,1,,3.5,,0.1,,,,,0,180,0,90,0,360
2,0,1,3.5,5.5,,0.1,,,,,0,180,0,90,0,360
3,0,1,5.5,7.5,,0.1,,,,,0,180,0,90,0,360
4,0,1,7.5,,,0.1,,,,,0,180,0,90,0,360
11,1,2,,,,0.1,,,,,0,180,0,90,0,360
12,2,3,,,,0.1,,,,,0,180,0,90,0,360
13,3,4,,,,0.1,,,,,0,180,0,90,0,360
14,4,5,,,,0.1,,,,,0,180,0,90,0,360
15,0,1,,,0.1,10,1,2,0,1,0,180,0,90,0,360
16,0,1,,,0.1,10,1,2,1,2.5,0,180,0,90,0,360
17,0,1,,,0.1,10,1,2,2.5,5,0,180,0,90,0,360
18,0,1,,,0.1,10,1,2,5,7.5,0,180,0,90,0,360
19,0,1,,,0.1,10,1,2,7.5,10,0,180,0,90,0,360
20,0,1,,,0.1,10,1,2,10,12.5,0,180,0,90,0,360
21,0,1,,,0.1,10,1,2,12.5,15,0,180,0,90,0,360
22,0,1,,,0.1,10,1,2,15,17.5,0,180,0,90,0,360
23,0,1,,,0.1,10,1,2,17.5,20,0,180,0,90,0,360
24,0,1,,,0.1,10,1,2,20,25,0,180,0,90,0,360
25,0,1,,,0.1,10,1,2,25,30,0,180,0,90,0,360
26,0,1,,,0.1,10,1,2,30,40,0,180,0,90,0,360
27,0,1,,,0.1,10,1,2,40,50,0,180,0,90,0,360
28,0,1,,,0.1,10,1,2,50,,0,180,0,90,0,360
29,0,1,,,10,20,1,2,0,1,0,180,0,90,0,360
30,0,1,,,10,20,1,2,1,2.5,0,180,0,90,0,360
31,0,1,,,10,20,1,2,2.5,5,0,180,0,90,0,360
32,0,1,,,10,20,1,2,5,7.5,0,180,0,90,0,360
33,0,1,,,10,20,1,2,7.5,10,0,180,0,90,0,360
34,0,1,,,10,20,1,2,10,12.5,0,180,0,90,0,360
35,0,1,,,10,20,1,2,12.5,15,0,180,0,90,0,360
36,0,1,,,10,20,1,2,15,17.5,0,180,0,90,0,360
37,0,1,,,10,20,1,2,17.5,20,0,180,0,90,0,360
38,0,1,,,10,20,1,2,20,25,0,180,0,90,0,360
39,0,1,,,10,20,1,2,25,30,0,180,0,90,0,360
40,0,1,,,10,20,1,2,30,40,0,180,0,90,0,360
41,0,1,,,10,20,1,2,40,50,0,180,0,90,0,360
42,0,1,,,10,20,1,2,50,,0,180,0,90,0,360
43,0,1,,,20,30,1,2,0,1,0,180,0,90,0,360
44,0,1,,,20,30,1,2,1,2.5,0,180,0,90,0,360
45,0,1,,,20,30,1,2,2.5,5,0,180,0,90,0,360
46,0,1,,,20,30,1,2,5,7.5,0,180,0,90,0,360
47,0,1,,,20,30,1,2,7.5,10,0,180,0,90,0,360
48,0,1,,,20,30,1,2,10,12.5,0,180,0,90,0,360
49,0,1,,,20,30,1,2,12.5,15,0,180,0,90,0,360
50,0,1,,,20,30,1,2,15,17.5,0,180,0,90,0,360
51,0,1,,,20,30,1,2,17.5,20,0,180,0,90,0,360
52,0,1,,,20,30,1,2,20,25,0,180,0,90,0,360
53,0,1,,,20,30,1,2,25,30,0,180,0,90,0,360
54,0,1,,,20,30,1,2,30,40,0,180,0,90,0,360
55,0,1,,,20,30,1,2,40,50,0,180,0,90,0,360
56,0,1,,,20,30,1,2,50,,0,180,0,90,0,360
57,0,1,,,30,40,1,2,0,1,0,180,0,90,0,360
58,0,1,,,30,40,1,2,1,2.5,0,180,0,90,0,360
59,0,1,,,30,40,1,2,2.5,5,0,180,0,90,0,360
60,0,1,,,30,40,1,2,5,7.5,0,180,0,90,0,360
61,0,1,,,30,40,1,2,7.5,10,0,180,0,90,0,360
62,0,1,,,30,40,1,2,10,12.5,0,180,0,90,0,360
63,0,1,,,30,40,1,2,12.5,15,0,180,0,90,0,360
64,0,1,,,30,40,1,2,15,17.5,0,180,0,90,0,360
65,0,1,,,30,40,1,2,17.5,20,0,180,0,90,0,360
66,0,1,,,30,40,1,2,20,25,0,180,0,90,0,360
67,0,1,,,30,40,1,2,25,30,0,180,0,90,0,360
68,0,1,,,30,40,1,2,30,40,0,180,0,90,0,360
69,0,1,,,30,40,1,2,40,50,0,180,0,90,0,360
70,0,1,,,30,40,1,2,50,,0,180,0,90,0,360
71,0,1,,,40,50,1,2,0,1,0,180,0,90,0,360
72,0,1,,,40,50,1,2,1,2.5,0,180,0,90,0,360
73,0,1,,,40,50,1,2,2.5,5,0,180,0,90,0,360
74,0,1,,,40,50,1,2,5,7.5,0,180,0,90,0,360
75,0,1,,,40,50,1,2,7.5,10,0,180,0,90,0,360
76,0,1,,,40,50,1,2,10,12.5,0,180,0,90,0,360
77,0,1,,,40,50,1,2,12.5,15,0,180,0,90,0,360
78,0,1,,,40,50,1,2,15,17.5,0,180,0,90,0,360
79,0,1,,,40,50,1,2,17.5,20,0,180,0,90,0,360
80,0,1,,,40,50,1,2,20,25,0,180,0,90,0,360
81,0,1,,,40,50,1,2,25,30,0,180,0,90,0,360
82,0,1,,,40,50,1,2,30,40,0,180,0,90,0,360
83,0,1,,,40,50,1,2,40,50,0,180,0,90,0,360
84,0,1,,,40,50,1,2,50,,0,180,0,90,0,360
85,0,1,,,50,60,1,2,0,1,0,180,0,90,0,360
86,0,1,,,50,60,1,2,1,2.5,0,180,0,90,0,360
87,0,1,,,50,60,1,2,2.5,5,0,180,0,90,0,360
88,0,1,,,50,60,1,2,5,7.5,0,180,0,90,0,360
89,0,1,,,50,60,1,2,7.5,10,0,180,0,90,0,360
90,0,1,,,50,60,1,2,10,12.5,0,180,0,90,0,360
91,0,1,,,50,60,1,2,12.5,15,0,180,0,90,0,360
92,0,1,,,50,60,1,2,15,17.5,0,180,0,90,0,360
93,0,1,,,50,60,1,2,17.5,20,0,180,0,90,0,360
94,0,1,,,50,60,1,2,20,25,0,180,0,90,0,360
95,0,1,,,50,60,1,2,25,30,0,180,0,90,0,360
96,0,1,,,50,60,1,2,30,40,0,180,0,90,0,360
97,0,1,,,50,60,1,2,40,50,0,180,0,90,0,360
98,0,1,,,50,60,1,2,50,,0,180,0,90,0,360
99,0,1,,,60,70,1,2,0,1,0,180,0,90,0,360
100,0,1,,,60,70,1,2,1,2.5,0,180,0,90,0,360
101,0,1,,,60,70,1,2,2.5,5,0,180,0,90,0,360
102,0,1,,,60,70,1,2,5,7.5,0,180,0,90,0,360
103,0,1,,,60,70,1,2,7.5,10,0,180,0,90,0,360
104,0,1,,,60,70,1,2,10,12.5,0,180,0,90,0,360
105,0,1,,,60,70,1,2,12.5,15,0,180,0,90,0,360
106,0,1,,,60,70,1,2,15,17.5,0,180,0,90,0,360
107,0,1,,,60,70,1,2,17.5,20,0,180,0,90,0,360
108,0,1,,,60,70,1,2,20,25,0,180,0,90,0,360
109,0,1,,,60,70,1,2,25,30,0,180,0,90,0,360
110,0,1,,,60,70,1,2,30,40,0,180,0,90,0,360
111,0,1,,,60,70,1,2,40,50,0,180,0,90,0,360
112,0,1,,,60,70,1,2,50,,0,180,0,90,0,360
113,0,1,,,70,80,1,2,0,1,0,180,0,90,0,360
114,0,1,,,70,80,1,2,1,2.5,0,180,0,90,0,360
115,0,1,,,70,80,1,2,2.5,5,0,180,0,90,0,360
116,0,1,,,70,80,1,2,5,7.5,0,180,0,90,0,360
117,0,1,,,70,80,1,2,7.5,10,0,180,0,90,0,360
118,0,1,,,70,80,1,2,10,12.5,0,180,0,90,0,360
119,0,1,,,70,80,1,2,12.5,15,0,180,0,90,0,360
120,0,1,,,70,80,1,2,15,17.5,0,180,0,90,0,360
121,0,1,,,70,80,1,2,17.5,20,0,180,0,90,0,360
122,0,1,,,70,80,1,2,20,25,0,180,0,90,0,360
123,0,1,,,70,80,1,2,25,30,0,180,0,90,0,360
124,0,1,,,70,80,1,2,30,40,0,180,0,90,0,360
125,0,1,,,70,80,1,2,40,50,0,180,0,90,0,360
126,0,1,,,70,80,1,2,50,,0,180,0,90,0,360
127,0,1,,,80,90,1,2,0,1,0,180,0,90,0,360
128,0,1,,,80,90,1,2,1,2.5,0,180,0,90,0,360
129,0,1,,,80,90,1,2,2.5,5,0,180,0,90,0,360
130,0,1,,,80,90,1,2,5,7.5,0,180,0,90,0,360
131,0,1,,,80,90,1,2,7.5,10,0,180,0,90,0,360
132,0,1,,,80,90,1,2,10,12.5,0,180,0,90,0,360
133,0,1,,,80,90,1,2,12.5,15,0,180,0,90,0,360
134,0,1,,,80,90,1,2,15,17.5,0,180,0,90,0,360
135,0,1,,,80,90,1,2,17.5,20,0,180,0,90,0,360
136,0,1,,,80,90,1,2,20,25,0,180,0,90,0,360
137,0,1,,,80,90,1,2,25,30,0,180,0,90,0,360
138,0,1,,,80,90,1,2,30,40,0,180,0,90,0,360
139,0,1,,,80,90,1,2,40,50,0,180,0,90,0,360
140,0,1,,,80,90,1,2,50,,0,180,0,90,0,360
141,0,1,,,90,95,1,2,0,1,0,180,0,90,0,360
142,0,1,,,90,95,1,2,1,2.5,0,180,0,90,0,360
143,0,1,,,90,95,1,2,2.5,5,0,180,0,90,0,360
144,0,1,,,90,95,1,2,5,7.5,0,180,0,90,0,360
145,0,1,,,90,95,1,2,7.5,10,0,180,0,90,0,360
146,0,1,,,90,95,1,2,10,12.5,0,180,0,90,0,360
147,0,1,,,90,95,1,2,12.5,15,0,180,0,90,0,360
148,0,1,,,90,95,1,2,15,17.5,0,180,0,90,0,360
149,0,1,,,90,95,1,2,17.5,20,0,180,0,90,0,360
150,0,1,,,90,95,1,2,20,25,0,180,0,90,0,360
151,0,1,,,90,95,1,2,25,30,0,180,0,90,0,360
152,0,1,,,90,95,1,2,30,40,0,180,0,90,0,360
153,0,1,,,90,95,1,2,40,50,0,180,0,90,0,360
154,0,1,,,90,95,1,2,50,,0,180,0,90,0,360
155,0,1,,,95,99.9,1,2,0,1,0,180,0,90,0,360
156,0,1,,,95,99.9,1,2,1,2.5,0,180,0,90,0,360
157,0,1,,,95,99.9,1,2,2.5,5,0,180,0,90,0,360
158,0,1,,,95,99.9,1,2,5,7.5,0,180,0,90,0,360
159,0,1,,,95,99.9,1,2,7.5,10,0,180,0,90,0,360
160,0,1,,,95,99.9,1,2,10,12.5,0,180,0,90,0,360
161,0,1,,,95,99.9,1,2,12.5,15,0,180,0,90,0,360
162,0,1,,,95,99.9,1,2,15,17.5,0,180,0,90,0,360
163,0,1,,,95,99.9,1,2,17.5,20,0,180,0,90,0,360
164,0,1,,,95,99.9,1,2,20,25,0,180,0,90,0,360
165,0,1,,,95,99.9,1,2,25,30,0,180,0,90,0,360
166,0,1,,,95,99.9,1,2,30,40,0,180,0,90,0,360
167,0,1,,,95,99.9,1,2,40,50,0,180,0,90,0,360
168,0,1,,,95,99.9,1,2,50,,0,180,0,90,0,360
169,0,1,,,99.9,,1,2,0,1,0,180,0,90,0,360
170,0,1,,,99.9,,1,2,1,2.5,0,180,0,90,0,360
171,0,1,,,99.9,,1,2,2.5,5,0,180,0,90,0,360
172,0,1,,,99.9,,1,2,5,7.5,0,180,0,90,0,360
173,0,1,,,99.9,,1,2,7.5,10,0,180,0,90,0,360
174,0,1,,,99.9,,1,2,10,12.5,0,180,0,90,0,360
175,0,1,,,99.9,,1,2,12.5,15,0,180,0,90,0,360
176,0,1,,,99.9,,1,2,15,17.5,0,180,0,90,0,360
177,0,1,,,99.9,,1,2,17.5,20,0,180,0,90,0,360
178,0,1,,,99.9,,1,2,20,25,0,180,0,90,0,360
179,0,1,,,99.9,,1,2,25,30,0,180,0,90,0,360
180,0,1,,,99.9,,1,2,30,40,0,180,0,90,0,360
181,0,1,,,99.9,,1,2,40,50,0,180,0,90,0,360
182,0,1,,,99.9,,1,2,50,,0,180,0,90,0,360
183,0,1,,,0.1,10,2,,0,1,0,180,0,90,0,360
184,0,1,,,0.1,10,2,,1,2.5,0,180,0,90,0,360
185,0,1,,,0.1,10,2,,2.5,5,0,180,0,90,0,360
186,0,1,,,0.1,10,2,,5,7.5,0,180,0,90,0,360
187,0,1,,,0.1,10,2,,7.5,10,0,180,0,90,0,360
188,0,1,,,0.1,10,2,,10,12.5,0,180,0,90,0,360
189,0,1,,,0.1,10,2,,12.5,15,0,180,0,90,0,360
190,0,1,,,0.1,10,2,,15,17.5,0,180,0,90,0,360
191,0,1,,,0.1,10,2,,17.5,20,0,180,0,90,0,360
192,0,1,,,0.1,10,2,,20,25,0,180,0,90,0,360
193,0,1,,,0.1,10,2,,25,30,0,180,0,90,0,360
194,0,1,,,0.1,10,2,,30,40,0,180,0,90,0,360
195,0,1,,,0.1,10,2,,40,50,0,180,0,90,0,360
196,0,1,,,0.1,10,2,,50,,0,180,0,90,0,360
197,0,1,,,10,20,2,,0,1,0,180,0,90,0,360
198,0,1,,,10,20,2,,1,2.5,0,180,0,90,0,360
199,0,1,,,10,20,2,,2.5,5,0,180,0,90,0,360
200,0,1,,,10,20,2,,5,7.5,0,180,0,90,0,360
201,0,1,,,10,20,2,,7.5,10,0,180,0,90,0,360
202,0,1,,,10,20,2,,10,12.5,0,180,0,90,0,360
203,0,1,,,10,20,2,,12.5,15,0,180,0,90,0,360
204,0,1,,,10,20,2,,15,17.5,0,180,0,90,0,360
205,0,1,,,10,20,2,,17.5,20,0,180,0,90,0,360
206,0,1,,,10,20,2,,20,25,0,180,0,90,0,360
207,0,1,,,10,20,2,,25,30,0,180,0,90,0,360
208,0,1,,,10,20,2,,30,40,0,180,0,90,0,360
209,0,1,,,10,20,2,,40,50,0,180,0,90,0,360
210,0,1,,,10,20,2,,50,,0,180,0,90,0,360
211,0,1,,,20,30,2,,0,1,0,180,0,90,0,360
