scene_id,surface_type_min,surface_type_max,cloud_fraction_min,cloud_fraction_max,solar_zenith_angle_min,solar_zenith_angle_max,viewing_zenith_angle_min,viewing_zenith_angle_max,relative_azimuth_angle_min,relative_azimuth_angle_max
1,0,1,,5,0,180,0,90,0,360
2,5,6,,5,0,180,0,90,0,360
3,1,3,,5,0,180,0,90,0,360
4,3,5,,5,0,180,0,90,0,360
5,0,1,5,50,0,180,0,90,0,360
6,5,6,5,50,0,180,0,90,0,360
7,1,5,5,50,0,180,0,90,0,360
8,0,1,50,95,0,180,0,90,0,360
9,5,6,50,95,0,180,0,90,0,360
10,1,5,50,95,0,180,0,90,0,360
11,0,,95,,0,180,0,90,0,360
