trimmed_product,required_inputs
l1a_icie_nom_hk_gain_family_trimmed,l1a_icie_rad_full_decoded;l1a_icie_cal_full_decoded
l1a_icie_nom_hk_swc_family_trimmed,l1a_pev_sw_stat_decoded;l1a_pec_sw_stat_decoded;l1a_icie_rad_sample_decoded;l1a_icie_cal_sample_decoded;l1a_icie_axis_sample_decoded
l1a_icie_nom_hk_lwc_family_trimmed,l1a_pev_sw_stat_decoded;l1a_pec_sw_stat_decoded;l1a_icie_rad_sample_decoded;l1a_icie_axis_sample_decoded
l1a_icie_nom_hk_solar_family_trimmed,l1a_pev_sw_stat_decoded;l1a_icie_rad_sample_decoded
l1a_icie_nom_hk_lunar_family_trimmed,
l1a_icie_nom_hk_rad_viirs_lunar_family_trimmed,
l1a_icie_nom_hk_wfov_viirs_lunar_family_trimmed,
l1a_icie_nom_hk_ct_video_family_trimmed,
l1a_icie_nom_hk_raps_video_family_trimmed,
l1a_icie_nom_hk_darks_family_trimmed,
